date, pm25, pm10, o3, no2, so2, co
January-20,140,93,13,30,2, 
January-20,180,64,16,14,1, 
January-20,138,56,15,10,2, 
January-20,120,56,12,12, , 
January-20,116,56,11,12, , 
January-20,112,61,13,15, , 
January-20,122,67,15,13, , 
January-20,127,70,19,15, , 
January-20,143,74,12,11,1, 
January-20,162,72,18,11, , 
January-20,159,76,17,16, , 
January-20,163,67,16,14, , 
January-20,147,63,12,16, , 
January-20,124,58,9,10, , 
January-20,115,48,7,8, , 
January-20,84,39,10,5, , 
January-20,69,33,7,7, , 
January-20,62,40,10,10,1, 
January-20,81,47,13,12,1, 
January-20,101,49,20,16, , 
January-20,104,56,21,15,1, 
January-20,110,68,19,13, , 
February-20,138,88,27,17, , 
February-20,161,85,25,14,1, 
February-20,162,80,22,13, , 
February-20,159,71,17,10,1, 
February-20,145,58,17,10, , 
February-20,109,48,14,8, , 
February-20,91,59,18,13, , 
February-20,108,59,22,11,1, 
February-20,118,72,16,14, , 
February-20,138,75,19,13, , 
February-20,138,71,22,15,1, 
February-20,154,58,13,9,1, 
February-20,126,32,7,5, , 
February-20,58,29,6,5, , 
February-20,55,37,10,8, , 
February-20,75,26,8,7, , 
February-20,58,38,13,10, , 
February-20,73,62,15,11,1, 
February-20,118,81,21,17,1, 
February-20,149,86,18,19,1, 
February-20,167,79,18,14, , 
February-20,154,82,17,13,1, 
February-20,150,80,21,14,1, 
February-20,151,87,21,19,1, 
February-20,166,89,25,13,1, 
February-20,164,73,20,10,1, 
February-20,145,75,11,17,1, 
February-20,140,50,13,9, , 
February-20,104,49,12,9, , 
March-20,96,51,13,6, , 
March-20,91,47,12,6, , 
March-20,91,33,9,4, , 
March-20,66,29,4,5,1, 
March-20,56,31,5,6, , 
March-20,63,30,5,5, , 
March-20,61,32,4,6, , 
March-20,63,39,12,4, , 
March-20,75,56,24,10, , 
March-20,119,49,14,9, , 
March-20,107,54,14,10,1, 
March-20,111,44,8,6, , 
March-20,94,37,6,5, , 
March-20,80,35,7,5, , 
March-20,72,37,5,9, , 
March-20,81,57,12,15, , 
March-20,109,46,13,4, , 
March-20,79,44,9,5, , 
March-20,84,40,11,5, , 
March-20,75,36,11,5, , 
March-20,75,35,13,5, , 
March-20,79,29,13,5, , 
March-20,69,30,12,7,1, 
March-20,65,28,9,6, , 
March-20,61,31,9,4, , 
March-20,70,25,8,4, , 
March-20,59,27,7,4, , 
March-20,59,37,11,4, , 
March-20,81,30,10,3, , 
March-20,72, , , , , 
